name,npsn,level,status,accreditation,district,address,latitude,longitude
MI ISLAMIYAH 01,60712142,SD,SWASTA,A,Cluwak,JALAN RAYA TAYU - JEPARA KM 13 RT 12 RW 04,-6.5296,110.9318
MI ISLAMIYAH 02 MOJO,60712140,SD,SWASTA,A,Cluwak,JL.GANG MASJID MUSTAQIM 2,-6.5059,110.9276
MI MANAHIJUL ULUM,60712144,SD,SWASTA,B,Cluwak,Jl. Raya Tayu-Jepara Km. 12,-6.5638,110.9406
MI MANBA`UL FALAH,60712147,SD,SWASTA,A,Cluwak,RT 04 RW 03 Desa Gerit Kecamatan Cluwak Kabupaten Pati,-6.5154,110.9708
MI MANBA`UL ULUM,60712148,SD,SWASTA,A,Cluwak,GESENGAN,-6.5136,110.9246
MI MATHOLI`UL HUDA 01,60712145,SD,SWASTA,B,Cluwak,DK.CLUWAK RT.4 RW.2,-6.5105744,110.9450885
MI MATHOLI`UL HUDA 02,69726205,SD,SWASTA,B,Cluwak,DS.KARANGSARI CLUWAK,-6.5543,110.9477
MI MIFTAHUL HUDA,60712143,SD,SWASTA,B,Cluwak,PAYAK,-6.5285,110.9232
MTS DARUL FALAH SIRAHAN,20364042,SD,SWASTA,A,Cluwak,SIRAHAN CLUWAK,-6.5235,110.9143
MTS ISLAM,69726377,SD,SWASTA,B,Cluwak,DS.KARANGSARI KEC CLUWAK,-6.5014,110.9481
MTS ISLAMIYAH MOJO,20364041,SD,SWASTA,A,Cluwak,JL PATI-JEPARA KM 45,-6.5201,110.9356
MTS MANAHIJUL ULUM,69726372,SD,SWASTA,B,Cluwak,DS.PLAOSAN KEC CLUWAK,-6.5352,110.9406
MTS MANBA`UL FALAH,69726375,SD,SWASTA,B,Cluwak,DS.GERIT KEC CLUWAK,-6.5152,110.9709
MTS MATHOLI`UL HUDA,69726376,SD,SWASTA,B,Cluwak,DS.KARANGSARI KEC CLUWAK,-6.5594,110.967
MTS NURUL HUDA,69726373,SD,SWASTA,B,Cluwak,DS.NGABLAK KEC CLUWAK,-6.5496,110.9637
MTS SUNAN KALIJOGO,69726374,SD,SWASTA,B,Cluwak,Sumur RT 012 RW 002 Cluwak Pati,-6.5012,110.9651
SD NEGERI BLEBER,20317055,SD,NEGERI,A,Cluwak,Bleber,-6.5239,110.957
SD NEGERI GERIT 01,20317136,SD,NEGERI,B,Cluwak,Dk. Toyong Rt 06 Rw 01,-6.5125,110.9414
SD NEGERI GERIT 02,20317135,SD,NEGERI,A,Cluwak,Jalan Ngablak - Puncel Km. 03,-6.5235,110.9711
SD NEGERI GESENGAN 01,20317133,SD,NEGERI,B,Cluwak,Gesengan Rt 02 Rw 02,-6.5284,110.9851
SD NEGERI GESENGAN 02,20317132,SD,NEGERI,A,Cluwak,Gesengan,-6.5392,110.9326
SD NEGERI KARANGSARI 01,20316307,SD,NEGERI,A,Cluwak,Karangsari Rt 02 Rw 07,-6.5164,110.9517
SD NEGERI KARANGSARI 03,20316308,SD,NEGERI,B,Cluwak,Karangsari Rt 04 Rw 01,-6.5143,110.9526
SD NEGERI MEDANI 01,20316334,SD,NEGERI,B,Cluwak,"Medani, Rt. 05 Rw. 01",-6.550336,110.924794
SD NEGERI MOJO 01,20316342,SD,NEGERI,B,Cluwak,MOJO,-6.5071,110.9289
SD NEGERI MOJO 02,20316341,SD,NEGERI,B,Cluwak,Jln.Tayu-Jepara Km 18,-6.5074,110.9155
SD NEGERI MOJO 03,20316340,SD,NEGERI,B,Cluwak,Dukuh Mojo Pligen,-6.5144,110.9358
SD NEGERI MOJO 04,20316339,SD,NEGERI,B,Cluwak,Mojo Jati RT 02 RW 08,-6.5177,110.9322
SD NEGERI NGABLAK 01,20316142,SD,NEGERI,A,Cluwak,Ngablak,-6.5526,110.9329
SD NEGERI NGABLAK 02,20316141,SD,NEGERI,A,Cluwak,Desa Ngablak RT. 004 RW. 011,-6.535115,110.940639
SD NEGERI NGABLAK 03,20316140,SD,NEGERI,A,Cluwak,Jalan Ngablak- Gunungwungkal Km 1 Ngablak,-6.5649,110.955
SD NEGERI NGABLAK 04,20316139,SD,NEGERI,A,Cluwak,Jalan Raya Tayu Jepara Km 9,-6.5291,110.9733
SD NEGERI NGAWEN,20316134,SD,NEGERI,A,Cluwak,Ngawen,-6.5316,110.9636
SD NEGERI PAYAK 02,20316127,SD,NEGERI,A,Cluwak,Payak RT 14 RW 05,-6.5334,110.9298
SD NEGERI PAYAK 03,20340704,SD,NEGERI,B,Cluwak,Payak Rt 02 Rw 01,-6.5313,110.9227
SD NEGERI PLAOSAN 01,20316217,SD,NEGERI,A,Cluwak,Jl Raya Tayu - Jepara Km 12 Plaosan,-6.535,110.9455
SD NEGERI PLAOSAN 03,20316218,SD,NEGERI,B,Cluwak,Plaosan,-6.541059,110.939828
SD NEGERI SENTUL 01,20316588,SD,NEGERI,B,Cluwak,Sentul,-6.555,110.9371
SD NEGERI SENTUL 02,20316589,SD,NEGERI,A,Cluwak,Sentul,-6.5571,110.9475
SD NEGERI SIRAHAN 01,20316607,SD,NEGERI,B,Cluwak,Jalan Raya Tayu-Jepara Km 17,-6.514,110.9144
SD NEGERI SIRAHAN 02,20316606,SD,NEGERI,A,Cluwak,Sirahan,-6.526925,110.920219
SD NEGERI SUMUR 02,20316554,SD,NEGERI,B,Cluwak,Sumur,-6.5066,110.9577
SD NEGERI SUMUR 03,20316535,SD,NEGERI,A,Cluwak,Sumur Rt 18 Rw 03,-6.4982,110.9636
SMP NEGERI 1 CLUWAK,20338960,SMP,NEGERI,A,Cluwak,Jln Tayu Jepara Km 10,-6.5454,110.9693
SMP PANCASILA,20338964,SMP,SWASTA,B,Cluwak,Jalan  Raya Kelet Tayu,-6.5435,110.9176
MI ISLAMIYAH,60712270,SD,SWASTA,A,Tayu,Ds.Tendas Rt 05 RW I,-6.5502,111.0353
MI ISLAMIYAH 01,60712264,SD,SWASTA,B,Tayu,Jl. Raya Tayu-Jepara Km.5,-6.5514,111.0351
MI ISLAMIYAH 02,60712265,SD,SWASTA,A,Tayu,Jln. RAYA TAYU-JEPARA KM. 06,-6.533,110.9938
MI MABDAUL HUDA,60712262,SD,SWASTA,A,Tayu,Jl. Sentana RT 003 RW 001,-6.5413,111.0208
MI MAMBA`UN NIDHOM,60712263,SD,SWASTA,B,Tayu,Bulungan RT.06 /02 Tayu,-6.5349,111.039
MI MAMBAUL HIDAYAH,60712273,SD,SWASTA,A,Tayu,Pondowan,-6.566788,111.034841
MI MANBAUL HUDA,60712261,SD,SWASTA,B,Tayu,PUNDENREJO JL. P. SUDIRMAN KM. 3 TAYU,-6.5344,111.0272
MI MANSYAUL HUDA,60712271,SD,SWASTA,A,Tayu,Sendangrejo,-6.5545,111.0381
MI MIFTAHUL FALAH,60712269,SD,SWASTA,A,Tayu,Jl. Tayu-Juwana Km. 1,-6.549734,111.054445
MI MIFTAHUL HUDA,60712260,SD,SWASTA,A,Tayu,Jl. Ratu Kalinyamat No.51 RT 01/02,-6.5361,111.0491
MI MIFTAHUL ULUM,60712268,SD,SWASTA,A,Tayu,Keboromo,-6.542848,111.047021
MI RAUDLATUT THOLIBIN,60712272,SD,SWASTA,A,Tayu,Jalan Raya Tayu-Pati Km. 3 Pakis,-6.5664331,111.0405047
MI SIROJUL ANAM,60712267,SD,SWASTA,B,Tayu,Jl. K.H. Bahri Dk. Winong,-6.5799,111.0308
MI THORIQOTUL ISLAMIYAH,60712266,SD,SWASTA,A,Tayu,"Jl. Tayu - Puncel No.02, Luwang, Kec. Tayu, Kabupaten Pati, Jawa Tengah 59155",-6.5754,111.0438
MTS MAMBA`UN NIDHOM,69726378,SD,SWASTA,B,Tayu,Desa Bulungan Kec. Tayu Kab. Pati,-6.524,111.0217
MTS MAMBAUL HIDAYAH,69726397,SD,SWASTA,B,Tayu,DS.PONDOWAN KEC TAYU,-6.5669,111.0347
MTS MANBAUL HUDA,69725801,SD,SWASTA,B,Tayu,DS.PUNDENREJO KEC TAYU,-6.564019,111.05005
MTS MIFTAHUL FALAH,20364101,SD,SWASTA,B,Tayu,JL. RAYA TAYU JUWANA KM 01 DESA JEPATLOR,-6.5495,111.0544
MTS MIFTAHUL HUDA,20364105,SD,SWASTA,A,Tayu,JL. Ratu Kalinyamat No. 51 Tayu,-6.5356,111.0494
MTS MIFTAHUL ULUM,20364108,SD,SWASTA,B,Tayu,JL RAYA TAYU JEPARA KM 06 PURWOKERTO,-6.5329,110.9938
MTS NURUL HUDA,20364103,SD,SWASTA,B,Tayu,JL. RAYA TAYU - JUWANA KM. 3.5,-6.5666,111.0592
MTS PI AL HUDA,20364102,SD,SWASTA,A,Tayu,JL. RATU KALINYAMAT NO. 41 TAYUWETAN,-6.5354,111.0499
MTS RAUDLATUT THOLIBIN,20364106,SD,SWASTA,A,Tayu,JL. RAYA TAYU-PATI KM. 03 PAKIS TAYU PATI,-6.5662,111.0395
MTS SIROJUL ANAM,20364104,SD,SWASTA,B,Tayu,LUWANG RT 05 RW 02 KECAMATAN TAYU KABUPATEN PATI,-6.5296,111.0312
PDF. WUSTHA MAMBA`UL ULUM,70034233,SD,SWASTA,Belum Terakreditasi,Tayu,DESA PAKIS RT. 001 RW. 007,0.0,0.0
SD ANNIDA YA FATIMAH,69852841,SD,SWASTA,B,Tayu,Jl. Raden Patah Jepat Lor Tayu Pati,-6.5488,111.0492
SD ISLAM HIDAYAH,69880234,SD,SWASTA,B,Tayu,DS TAYU WETAN,-6.5332,111.0432
SD ISLAM SALAFIYAH MARGOMULYO,20317252,SD,SWASTA,B,Tayu,Jl. Tayu-Juana Km. 3 Margomulyo,-6.5619,111.0598
SD IT SALMAN AL-FARISI,69880575,SD,SWASTA,B,Tayu,JALAN SALMAN AL-FARISI NO. 5 PERUM TAYLON SEJAHTERA,-6.5326,111.0353
SD MARANATHA,20341464,SD,SWASTA,B,Tayu,"Jl. Sedayu no 18, Tayu kulon",-6.5338,111.0446
SD MUHAMMADIYAH KALIKALONG,20316288,SD,SWASTA,A,Tayu,Kalikalong,-6.5117,111.0413
SD MUHAMMADIYAH MARGOMULYO,20317266,SD,SWASTA,A,Tayu,Jln. Tayu Juwana Km 3.5,-6.5373,111.0602
SD NEGERI BENDOKATONKIDUL,20317059,SD,NEGERI,A,Tayu,Bendokaton Kidul,-6.5406,111.0048
SD NEGERI BULUNGAN,20317215,SD,NEGERI,A,Tayu,Bulungan,-6.5263,111.019
SD NEGERI DOROREJO,20317018,SD,NEGERI,B,Tayu,Dororejo,-6.5345,111.0527
SD NEGERI JEPATKIDUL 02,20317276,SD,NEGERI,A,Tayu,Jepatkidul,-6.5572,111.0505
SD NEGERI JEPATLOR,20317093,SD,NEGERI,A,Tayu,Jepatlor,-6.5789,111.0512
SD NEGERI KALIKALONG 01,20316287,SD,NEGERI,A,Tayu,Jln. Tayu-Dukuhseti Km. 4,-6.5111,111.0421
SD NEGERI KEBOROMO,20316247,SD,NEGERI,B,Tayu,"Jl. Pantai, Ds. Keboromo RT : 04 RW : 01 Kec. Tayu Kab. Pati",-6.548,111.061
SD NEGERI KEDUNGSARI 01,20316271,SD,NEGERI,A,Tayu,Jalan Tayu Pati Km 4,-6.5484,111.0409
SD NEGERI KEDUNGSARI 02,20316270,SD,NEGERI,A,Tayu,Jalan TAYU PATI Km 5,-6.5767,111.044
SD NEGERI LUWANG 01,20316330,SD,NEGERI,B,Tayu,Luwang,-6.5194,111.0409
SD NEGERI MARGOMULYO,20316320,SD,NEGERI,A,Tayu,Margomulyo,-6.574119,111.056136
SD NEGERI PAKIS 01,20316110,SD,NEGERI,A,Tayu,Jalan Raya Tayu Pati Km 3,-6.5496,111.0402
SD NEGERI PAKIS 02,20316112,SD,NEGERI,A,Tayu,Pakis,-6.5668,111.0392
SD NEGERI PONDOWAN 01,20317269,SD,NEGERI,B,Tayu,Jl.KH Abdul Rozak No. 221Pondowan Kecamatan Tayu,-6.553,111.0343
SD NEGERI PONDOWAN 02,20316223,SD,NEGERI,A,Tayu,Pondowan,-6.569,111.0342
SD NEGERI PUNDENREJO,20316229,SD,NEGERI,B,Tayu,Jalan Raya Tayu Jepara Km 3,-6.534,111.0247
SD NEGERI PURWOKERTO 01,20316204,SD,NEGERI,A,Tayu,Jalan Tayu Jepara Km 5,-6.5331,111.0085
SD NEGERI PURWOKERTO 02,20316185,SD,NEGERI,A,Tayu,Purwokerto,-6.5322,110.9928
SD NEGERI SAMBIROTO 01,20316202,SD,NEGERI,A,Tayu,SAMBIROTO,-6.5375,111.0556
SD NEGERI SAMBIROTO 02,20330935,SD,NEGERI,B,Tayu,Sambiroto,-6.5772,111.0381
SD NEGERI SENDANGREJO,20316169,SD,NEGERI,A,Tayu,Sendangrejo,-6.5581,111.0353
SD NEGERI TAYU KULON 02,20316621,SD,NEGERI,B,Tayu,Jalan P. Sudirman No. 192,-6.5419,111.0392
SD NEGERI TAYU WETAN 01,20316624,SD,NEGERI,A,Tayu,JL. RA KARTINI NO 50 A,-6.5384,111.0525
SD NEGERI TAYU WETAN 03,20316623,SD,NEGERI,A,Tayu,Gang Anggrek IV No 18,-6.5469,111.0427
SD NEGERI TENDAS,20316613,SD,NEGERI,A,Tayu,Tendas,-6.5486,111.0327
SD NEGERI TUNGGULSARI,20316440,SD,NEGERI,A,Tayu,Jl.Raya Tayu Juwana Km 3,-6.5565,111.0598
SMP BOPKRI TAYU,20338947,SMP,SWASTA,B,Tayu,JALAN P. DIPONEGORO 35 TAYU,-6.5441,111.0513
SMP MUHAMMADIYAH 2 KALIKALONG,20338954,SMP,SWASTA,Tidak Terakreditasi,Tayu,Ds Kalikalong,-6.5119,111.0414
SMP MUHAMMADIYAH 4 TAYU,20338957,SMP,SWASTA,B,Tayu,Jl. Untung Suropati No.17,-6.5439,111.0527
SMP NEGERI 1 TAYU,20338860,SMP,NEGERI,A,Tayu,Jl. Diponegoro 33,-6.5457,111.0506
SMP NEGERI 2 TAYU,20338865,SMP,NEGERI,A,Tayu,Jl.Tayu Dukuhseti Km 3,-6.5178,111.0427
SMP TERPADU JOKO TINGKIR,70011478,SMP,SWASTA,A,Tayu,Desa Luwang,-6.5199,111.0309
MI HIMMATUL MUTAALIMIN 02,60712156,SD,SWASTA,A,Dukuhseti,DS. DUKUHSETI RT 01 RW 01,-6.4657,111.0305
MI HIMMATUL MUTAALLIMIN 01,69726210,SD,SWASTA,B,Dukuhseti,Jl. Dukuhseti - Banyutowo Km.01 Dukuhseti,-6.4598,111.0381
MI HIMMATUL MUTAALLIMIN 03,69726211,SD,SWASTA,B,Dukuhseti,DS. DUKUHSETI RT 07 RW 03,-6.4467,111.0368
MI MADARIJUL HUDA,60712150,SD,SWASTA,A,Dukuhseti,JL Raya Tayu Puncel KM 11,-6.4442,111.0218
MI MAMBAUL ULUM,69726219,SD,SWASTA,A,Dukuhseti,DS.GROGOLAN KEC DUKUHSETI,-6.4861,111.0273
MI MANAHIJUL HUDA,69901954,SD,SWASTA,A,Dukuhseti,Jalan Kauman Nomor 01,-6.488749,111.037853
MI MANAHIJUL HUDA,60712158,SD,SWASTA,B,Dukuhseti,PENGGUNG,-6.4459,111.038
MI MATHOLI`UL HUDA,60712154,SD,SWASTA,B,Dukuhseti,BAKALAN,-6.506,111.0433
MI MIFTAHUL FALAH,60712161,SD,SWASTA,A,Dukuhseti,PUNCEL,-6.4203,110.9773
MI MIFTAHUL HUDA,60712151,SD,SWASTA,B,Dukuhseti,Jl. Raya Tayu-Puncel Km. 15 Sumurtowo,-6.421579,111.014553
MI MINSYA`UL HUDA,60712159,SD,SWASTA,B,Dukuhseti,JL. Tayu-Puncel Km. 14,-6.4392,111.0004
MI MINSYAUL WATHON,69727498,SD,SWASTA,A,Dukuhseti,DS. GROGOLAN RT 008 RW 003,-6.4803,111.0227
MI MUHAMMADIYAH,60712153,SD,SWASTA,B,Dukuhseti,NGAGEL,-6.4872,111.0351
MI NURUL FALAH,60712155,SD,SWASTA,B,Dukuhseti,"Jl. Bawal No.11 , RT 05 RW 01",-6.4578,111.0472
MI SULLAMUL HUDA,60712160,SD,SWASTA,A,Dukuhseti,JL. TAYU-PUNCEL KM.17 Rt.07 / Rw.02,-6.4449,110.9848
MI TARBIYATUL BANIN BANAT,60712162,SD,SWASTA,B,Dukuhseti,Jl. Raya Tayu-Puncel Km.8,-6.47045,111.036713
MI TARBIYATUL ISLAM,60712157,SD,SWASTA,A,Dukuhseti,JLN. RAYA TAYU KALITELO KM.18 NGARENGAN,-6.4841,110.9982
MI TARBIYATUL ISLAM  01,69726207,SD,SWASTA,A,Dukuhseti,DS.WEDUSAN KEC DUKUHSETI,-6.4937,110.9749
MI TARBIYATUL ISLAM 02,69726209,SD,SWASTA,A,Dukuhseti,Jl. KRPH Ngrancang Rt 05 Rw 05,-6.4557,110.9866
MIN 2 PATI,60712149,SD,NEGERI,A,Dukuhseti,"Jl. Raya Tayu - Puncel Km. 7,5 Alasdowo",-6.4702,111.0372
MTS HIMMATUL MUTAALLIMIN,69726381,SD,SWASTA,B,Dukuhseti,Desa Dukuhseti Kecamatan Dukuhseti Kabupaten Pati,-6.4571,111.031
MTS MADARIJUL HUDA,20364047,SD,SWASTA,A,Dukuhseti,JL. RAYA TAYU-PUNCEL KM. 11,-6.446,111.0227
MTS MAMBA`UL ULUM,20364045,SD,SWASTA,B,Dukuhseti,GROGOLAN,-6.4867,111.0273
MTS MANAHIJUL HUDA,69726379,SD,SWASTA,A,Dukuhseti,Jl. Kauman No. 02 RT 04 RW 01 Ngagel Dukuhseti Pati,-6.4892,111.0385
MTS MATHOLI`UL HUDA,20364043,SD,SWASTA,B,Dukuhseti,RT.3 RW.1,-6.506,111.0431
MTS MIFTAHUL FALAH,69726392,SD,SWASTA,B,Dukuhseti,DS.PUNCEL KEC DUKUHSETI,-6.4203,110.9773
MTS MINSYA`UL WATHON,69726382,SD,SWASTA,B,Dukuhseti,GROGOLAN RT. 008 RW. 003 DUKUHSETI,-6.4806,111.0228
MTS TARBIYATUL BANIN BANAT,20364044,SD,SWASTA,Belum Terakreditasi,Dukuhseti,JL RAYA TAYU PUNCEL KM 8,0.0,0.0
MTS YPI ARRIDLO,20364046,SD,SWASTA,C,Dukuhseti,JL RAYA TAYU-PUNCEL,-6.4526,111.0389
SD BOPKRI TEGALOMBO,20317163,SD,SWASTA,B,Dukuhseti,Margorejo,-6.4431,110.9948
SD NEGERI ALASDOWO 01,20317262,SD,NEGERI,A,Dukuhseti,Jln. Tayu - Puncel. Km 7 Dukuhseti,-6.4611,111.0389
SD NEGERI BAKALAN,20317050,SD,NEGERI,B,Dukuhseti,Bakalan,-6.5026,111.0406
SD NEGERI BANYUTOWO 02,20317286,SD,NEGERI,A,Dukuhseti,Banyutowo,-6.4589,111.0462
SD NEGERI DUKUHSETI 01,20317260,SD,NEGERI,A,Dukuhseti,"Jln. Tayu - Puncel Km.10, Dukuhseti",-6.4609,111.0334
SD NEGERI DUKUHSETI 02,20317278,SD,NEGERI,B,Dukuhseti,"Jln. Tayu - Puncel Km 10, Dukuhseti",-6.4562,111.0316
SD NEGERI DUKUHSETI 03,20317228,SD,NEGERI,B,Dukuhseti,Jl. Desa Dukuhseti,-6.4863,111.0284
SD NEGERI DUKUHSETI 04,20317223,SD,NEGERI,B,Dukuhseti,Selempung,-6.4435,111.0329
SD NEGERI DUMPIL,20316993,SD,NEGERI,B,Dukuhseti,Dumpil,-6.5034,111.0212
SD NEGERI GROGOLAN 01,20317103,SD,NEGERI,B,Dukuhseti,"Desa Grogolan Kec, Dukuhseti Kab. Pati",-6.4861,111.0224
SD NEGERI GROGOLAN 02,20317277,SD,NEGERI,A,Dukuhseti,Grogolan RT.01/II,-6.4881,111.0264
SD NEGERI KEMBANG 01,20317256,SD,NEGERI,A,Dukuhseti,Jl.Raya Tayu - Puncel Km 12,-6.44,111.0117
SD NEGERI KEMBANG 02,20316267,SD,NEGERI,B,Dukuhseti,Kembang,-6.442,111.0151
SD NEGERI KEMBANG 03,20317226,SD,NEGERI,A,Dukuhseti,Jln. Kandangan Kembang,-6.4287,111.0076
SD NEGERI KENANTI,20316266,SD,NEGERI,B,Dukuhseti,Desa Kenanti,-6.4807,111.0413
SD NEGERI NGAGEL 01,20316138,SD,NEGERI,A,Dukuhseti,Ngagel,-6.491,111.0346
SD NEGERI NGAGEL 02,20316137,SD,NEGERI,A,Dukuhseti,RT.04 RW.03,-6.482,111.0363
SD NEGERI PENGGUNG 01,20317253,SD,NEGERI,A,Dukuhseti,Dk. PENGGUNG RT 7 RW 6,-6.444,111.0234
SD NEGERI PUNCEL 01,20316230,SD,NEGERI,A,Dukuhseti,Jl. Raya Tayu-Puncel KM.17,-6.4426,110.9818
SD NEGERI PUNCEL 03,20317225,SD,NEGERI,B,Dukuhseti,Puncel,-6.482,110.9833
SD NEGERI TEGALOMBO 03,20316615,SD,NEGERI,A,Dukuhseti,Tegalombo,-6.4468,110.9937
SD NEGERI TEGALOMBO 04,20317220,SD,NEGERI,A,Dukuhseti,Tegalombo,-6.4909,111.0034
SD NEGERI TEGALOMBO 05,20317219,SD,NEGERI,A,Dukuhseti,Dukuh Tawangrejo Rt 07 Rw 03,-6.4241,110.994
SD NEGERI WEDUSAN,20316435,SD,NEGERI,A,Dukuhseti,Jl. Puncel - Ngablak Km. 05 Desa Wedusan,-6.487,110.9758
SMP BOPKRI 3 DUKUHSETI,20339054,SMP,SWASTA,A,Dukuhseti,Jalan Raya Tayu - Puncel Km. 15,-6.4467,110.9945
SMP NEGERI 1 DUKUHSETI,20338961,SMP,NEGERI,A,Dukuhseti,Jl Alasdowo,-6.4354,111.0424
SMP NEGERI 2 DUKUHSETI,20338981,SMP,NEGERI,A,Dukuhseti,Jl TPI Puncel,-6.4509,110.9805
SMP TERPADU AKN MARZUQI,20338946,SMP,SWASTA,B,Dukuhseti,Dukuhseti,-6.4447961,111.0207133
